Date,GLD,Nifty,usdtoinr
06-08-2018,1210.6,11387.09961,69.080002
13-08-2018,1192.2,11355.75,69.779999
20-08-2018,1187.8,11551.75,70.275002
27-08-2018,1209.2,11691.9502,70.995003
03-09-2018,1206.3,11582.34961,72.095001
10-09-2018,1194.5,11438.09961,72.027496
17-09-2018,1201.2,11377.75,72.230003
24-09-2018,1199.6,10967.40039,72.510002
01-10-2018,1189.4,11008.29981,73.763
08-10-2018,1185.8,10348.04981,74.160004
15-10-2018,1227.8,10512.5,74.160004
22-10-2018,1222,10245.25,73.125
29-10-2018,1224.7,10250.84961,72.904999
05-11-2018,1232.3,10524,72.470001
12-11-2018,1203.5,10482.2002,71.973
19-11-2018,1225.3,10763.40039,70.648003
26-11-2018,1222.4,10628.59961,69.642998
03-12-2018,1236.9,10883.75,70.75
10-12-2018,1244.9,10488.4502,71.546997
17-12-2018,1248.2,10888.34961,70.129997
24-12-2018,1267.9,10663.5,69.849998
31-12-2018,1281.3,10862.54981,69.525002
07-01-2019,1289.9,10771.79981,70.370003
14-01-2019,1291.3,10737.59961,71.030197
21-01-2019,1279.05,10961.84961,70.970001
28-01-2019,1303.1,10661.54981,71.449997
04-02-2019,1316.6,10912.25,71.099998
11-02-2019,1309.2,10888.79981,71.32
18-02-2019,1329.55,10640.9502,71.028
25-02-2019,1326.5,10880.09961,70.989998
11-03-2019,1291.1,11168.04981,69.337303
18-03-2019,1301.5,11462.2002,69.160004
25-03-2019,1322.6,11354.25,69.43
01-04-2019,1291.2,11669.15039,68.970398
08-04-2019,1298.8,11604.5,69.182999
15-04-2019,1288.5,11690.34961,69.380997
22-04-2019,1274.7,11594.4502,69.844299
06-05-2019,1283.8,11598.25,70.410004
13-05-2019,1301.8,11148.2002,70.235001
20-05-2019,1277.3,11828.25,69.373001
27-05-2019,1284.95,11924.75,69.980003
03-06-2019,1324.9,12088.54981,69.360001
10-06-2019,1326.3,11922.7002,69.859001
17-06-2019,1340,11672.15039,69.779999
24-06-2019,1415.2,11699.65039,69.324997
01-07-2019,1389.3,11865.59961,68.440002
08-07-2019,1400,11558.59961,68.550301
15-07-2019,1413.5,11588.34961,68.913597
22-07-2019,1426.9,11346.2002,69.150497
29-07-2019,1420.4,11189.2002,69.297203
05-08-2019,1467.7,10862.59961,70.470901
19-08-2019,1502.1,11053.90039,71.727097
26-08-2019,1527.2,11057.84961,71.680199
09-09-2019,1504.5,11003.04981,71.020699
16-09-2019,1504.8,11003.5,71.717499
23-09-2019,1524,11600.2002,70.639999
30-09-2019,1469.2,11474.4502,70.822502
07-10-2019,1500.7,11126.40039,71.029999
14-10-2019,1493.8,11341.15039,71.422501
04-11-2019,1511.1,11941.29981,71.361267
11-11-2019,1457.1,11913.4502,71.705803
18-11-2019,1471.9,11884.5,71.7826
25-11-2019,1456.9,12073.75,71.723
02-12-2019,1466.4,12048.2002,71.286797
09-12-2019,1462.8,11937.5,70.689003
16-12-2019,1477.9,12053.9502,71.024002
23-12-2019,1484.3,12262.75,71.313004
30-12-2019,1518.6,12255.84961,71.731003
06-01-2020,1568.8,11993.04981,70.953003
13-01-2020,1550.6,12329.54981,71.034698
20-01-2020,1561.25,12224.54981,71.324997
27-01-2020,1577.4,12119,71.496498
03-02-2020,1579.5,11707.90039,71.515503
10-02-2020,1576.6,12031.5,71.514801
17-02-2020,1587.05,12045.79981,71.886803
24-02-2020,1673.5,11829.40039,72.150002
02-03-2020,1594.8,11132.75,73.9953
09-03-2020,1675.7,10451.4502,73.903999
16-03-2020,1486.5,9197.400391,75.159698
23-03-2020,1567.6,7610.25,74.875504
30-03-2020,1637.1,8281.099609,77.139999
13-04-2020,1749.8,8993.849609,76.490997
20-04-2020,1703.4,9261.849609,76.301498
27-04-2020,1712.6,9282.299805,75.830498
04-05-2020,1713.3,9293.5,75.503502
11-05-2020,1698,9239.200195,75.822998
18-05-2020,1734.4,8823.25,75.977501
01-06-2020,1743.3,9826.150391,75.564003
08-06-2020,1699.9,10167.4502,75.956497
15-06-2020,1721.8,9813.700195,76.239799
22-06-2020,1758.4,10311.2002,75.627502
29-06-2020,1781.2,10312.40039,74.6782
06-07-2020,1793.5,10763.65039,75.188004
13-07-2020,1814.1,10802.7002,74.927002
20-07-2020,1817.4,11022.2002,74.669701
27-07-2020,1931,11131.79981,74.8769
03-08-2020,1969.5,10891.59961,75.017998
10-08-2020,2027.3,11270.15039,74.849701
17-08-2020,1987.1,11247.09961,74.875298
24-08-2020,1928.6,11466.4502,73.125
31-08-2020,1970.5,11387.5,73.172699
07-09-2020,1937.1,11355.04981,73.425499
14-09-2020,1954.7,11440.04981,73.602898
21-09-2020,1902.1,11250.54981,73.695999
28-09-2020,1872.8,11227.54981,73.260902
05-10-2020,1956,11503.34961,72.959702
12-10-2020,1967.7,11930.9502,73.443001
19-10-2020,1950.2,11873.04981,73.822899
26-10-2020,1946,11767.75,74.264
02-11-2020,1931.1,11669.15039,73.979797
09-11-2020,1894,12461.04981,74.487701
23-11-2020,1872.7,12926.4502,73.940903
07-12-2020,1891.3,13355.75,73.737999
14-12-2020,1856.3,13558.15039,73.6036
21-12-2020,1906,13328.40039,73.689003
28-12-2020,1904.5,13873.2002,73.092003
04-01-2021,1973.8,14132.90039,73.373398
11-01-2021,1876.7,14484.75,73.158997
18-01-2021,1836.6,14281.29981,72.954903
25-01-2021,1874,14238.90039,72.906601
01-02-2021,1876,14281.2002,72.784798
08-02-2021,1848.4,15115.79981,72.590797
15-02-2021,1818.75,15314.7002,72.563004
22-02-2021,1821.4,14675.7002,73.595901
01-03-2021,1739.6,14761.54981,73.1334
08-03-2021,1694.9,14956.2002,72.689003
15-03-2021,1742.9,14929.5,72.441803
22-03-2021,1752.2,14736.40039,72.612801
05-04-2021,1740.7,14637.79981,74.729202
12-04-2021,1744.9,14310.79981,74.532997
19-04-2021,1783.4,14359.4502,75.211502
26-04-2021,1792.8,14485,74.087997
03-05-2021,1804.3,14634.15039,73.253998
10-05-2021,1850.7,14942.34961,73.444901
17-05-2021,1880,14923.15039,73.021896
24-05-2021,1897.5,15197.7002,72.682999
31-05-2021,1911.15,15582.79981,73.044197
07-06-2021,1909.8,15751.65039,73.012299
14-06-2021,1876.4,15811.84961,74.253899
21-06-2021,1793.8,15746.5,74.220001
28-06-2021,1791.5,15814.7002,74.743797
05-07-2021,1791.3,15834.34961,74.487
12-07-2021,1817.2,15692.59961,74.901299
19-07-2021,1820.2,15752.40039,74.427002
26-07-2021,1810.1,15824.4502,74.251999
02-08-2021,1829.1,15885.15039,74.203003
09-08-2021,1734.4,16258.25,74.260101
16-08-2021,1797.8,16563.05078,74.345001
23-08-2021,1813.4,16496.44922,74.155998
30-08-2021,1819.2,16931.05078,73.054298
06-09-2021,1825.65,17377.80078,73.538002
13-09-2021,1801.4,17355.30078,73.564903
20-09-2021,1770.3,17396.90039,73.839996
